Mat,Inns,NO,Ave,Runs
52,80,10,99.94,6996
14,23,0,63.43,1459
73,131,16,62.84,7227
20,31,7,61.87,1485
23,41,4,60.97,2256
22,40,4,60.83,2190
54,84,9,60.73,4555
20,31,5,59.23,1540
82,131,15,58.67,6806
48,81,5,58.61,4455
85,140,16,58.45,7249
93,160,21,57.78,8032
134,233,17,57.40,12400
61,102,7,56.94,5410
44,74,7,56.68,3798
79,138,15,56.67,6971
166,280,40,55.37,13289
14,20,2,55.00,990
15,29,5,54.20,1301
17,21,1,54.20,1084
87,151,19,53.86,7110
34,62,7,53.81,2960
200,329,33,53.78,15921
86,145,10,53.62,7240
131,232,6,52.88,11953
124,189,21,52.57,8832
164,286,32,52.31,13288
90,156,12,52.29,7530
118,213,19,52.05,10099
168,287,29,51.85,13378
20,32,5,51.62,1394
63,112,19,51.54,4794
79,137,16,51.52,6235
164,280,49,51.37,11867
125,214,16,51.12,10122
168,260,46,51.06,10927
80,140,13,50.99,6476
103,184,14,50.73,8625
114,191,18,50.66,8765
156,265,44,50.56,11174
121,182,12,50.23,8540
78,131,15,50.06,5807
149,252,15,49.84,11814
120,200,22,49.60,8830
51,87,9,49.48,3860
17,26,2,49.37,1185
104,180,6,49.34,8586
115,198,22,49.10,8643
21,39,5,49.08,1669
84,155,7,48.94,7244
42,80,9,48.88,3471
20,33,4,48.79,1415
81,132,20,48.76,5462
77,128,8,48.66,5840
79,137,10,48.41,6149
92,169,12,48.40,7599
74,125,14,48.26,5357
117,205,13,48.25,9265
29,48,4,48.22,2122
39,62,5,48.21,2748
22,33,6,48.00,1296